Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
Série B,2023,2023-04-14,Guarani,4,1,Avaí,VC,3,0,1
Série B,2023,2023-04-14,Ituano,2,0,Ceará,VC,3,0,2
Série B,2023,2023-04-15,Vila Nova-GO,2,1,Novorizontino,VC,3,0,3
Série B,2023,2023-04-15,Mirassol,1,0,Chapecoense,VC,3,0,4
Série B,2023,2023-04-15,Sampaio Corrêa,3,3,Atlético-GO,E,1,1,5
Série B,2023,2023-04-15,Juventude,1,2,Botafogo-SP,VV,0,3,6
Série B,2023,2023-04-16,Criciúma,2,0,Tombense,VC,3,0,7
Série B,2023,2023-04-16,Vitória,3,0,Ponte Preta,VC,3,0,8
Série B,2023,2023-04-16,Londrina,1,0,ABC,VC,3,0,9
Série B,2023,2023-04-21,Ponte Preta,1,2,Criciúma,VV,0,3,10
Série B,2023,2023-04-21,Botafogo-SP,1,0,Sampaio Corrêa,VC,3,0,11
Série B,2023,2023-04-21,Atlético-GO,2,1,CRB,VC,3,0,12
Série B,2023,2023-04-22,Tombense,3,0,Ituano,VC,3,0,13
Série B,2023,2023-04-22,Ceará,0,3,Guarani,VV,0,3,14
Série B,2023,2023-04-22,Avaí,1,0,Mirassol,VC,3,0,15
Série B,2023,2023-04-22,Novorizontino,1,0,Juventude,VC,3,0,16
Série B,2023,2023-04-23,Chapecoense,3,0,Londrina,VC,3,0,17
Série B,2023,2023-04-23,ABC,0,3,Vitória,VV,0,3,18
Série B,2023,2023-04-28,Guarani,1,0,Ituano,VC,3,0,19
Série B,2023,2023-04-28,Criciúma,1,0,Avaí,VC,3,0,20
Série B,2023,2023-04-28,Vitória,2,0,Londrina,VC,3,0,21
Série B,2023,2023-04-29,Tombense,1,1,Atlético-GO,E,1,1,22
Série B,2023,2023-04-29,Botafogo-SP,2,0,CRB,VC,3,0,23
Série B,2023,2023-04-29,Sampaio Corrêa,1,3,Mirassol,VV,0,3,24
Série B,2023,2023-04-29,Chapecoense,1,1,Ponte Preta,E,1,1,25
Série B,2023,2023-04-30,ABC,1,2,Ceará,VV,0,3,26
Série B,2023,2023-04-30,Vila Nova-GO,1,0,Juventude,VC,3,0,27
Série B,2023,2023-04-30,Novorizontino,0,0,Sport,E,1,1,28
Série B,2023,2023-05-01,Londrina,1,1,Criciúma,E,1,1,29
Série B,2023,2023-05-02,Ponte Preta,2,0,Botafogo-SP,VC,3,0,30
Série B,2023,2023-05-02,Atlético-GO,2,1,Chapecoense,VC,3,0,31
Série B,2023,2023-05-02,CRB,0,0,Sampaio Corrêa,E,1,1,32
Série B,2023,2023-05-03,Avaí,0,3,Vila Nova-GO,VV,0,3,33
Série B,2023,2023-05-03,Ituano,3,0,ABC,VC,3,0,34
Série B,2023,2023-05-03,Mirassol,0,2,Novorizontino,VV,0,3,35
Série B,2023,2023-05-03,Juventude,1,0,Guarani,VC,3,0,36
Série B,2023,2023-05-05,Botafogo-SP,0,3,Vitória,VV,0,3,37
Série B,2023,2023-05-06,Sampaio Corrêa,2,1,Juventude,VC,3,0,38
Série B,2023,2023-05-06,Mirassol,1,1,Vila Nova-GO,E,1,1,39
Série B,2023,2023-05-06,CRB,1,1,ABC,E,1,1,40
Série B,2023,2023-05-06,Criciúma,2,1,Ituano,VC,3,0,41
Série B,2023,2023-05-06,Chapecoense,1,1,Novorizontino,E,1,1,42
Série B,2023,2023-05-06,Tombense,0,1,Avaí,VV,0,3,43
Série B,2023,2023-05-07,Ponte Preta,0,0,Ceará,E,1,1,44
Série B,2023,2023-05-07,Sport,2,0,Guarani,VC,3,0,45
Série B,2023,2023-05-08,Atlético-GO,2,1,Londrina,VC,3,0,46
Série B,2023,2023-05-10,Sport,3,2,Tombense,VC,3,0,47
Série B,2023,2023-05-10,Ceará,0,2,Vitória,VV,0,3,48
Série B,2023,2023-05-12,Avaí,1,4,Chapecoense,VV,0,3,49
Série B,2023,2023-05-12,Vila Nova-GO,0,0,Criciúma,E,1,1,50
Série B,2023,2023-05-13,Ceará,2,0,Tombense,VC,3,0,51
Série B,2023,2023-05-13,Juventude,0,1,Mirassol,VV,0,3,52
Série B,2023,2023-05-13,Guarani,2,0,Sampaio Corrêa,VC,3,0,53
Série B,2023,2023-05-13,Novorizontino,0,1,CRB,VV,0,3,54
Série B,2023,2023-05-14,Vitória,2,3,Atlético-GO,VV,0,3,55
Série B,2023,2023-05-14,Londrina,3,0,Ponte Preta,VC,3,0,56
Série B,2023,2023-05-14,ABC,1,2,Botafogo-SP,VV,0,3,57
Série B,2023,2023-05-14,Ituano,1,1,Sport,E,1,1,58
Série B,2023,2023-05-19,Mirassol,2,0,Vitória,VC,3,0,59
Série B,2023,2023-05-19,Atlético-GO,0,0,Avaí,E,1,1,60
Série B,2023,2023-05-19,Tombense,0,2,Londrina,VV,0,3,61
Série B,2023,2023-05-20,Sport,3,0,Botafogo-SP,VC,3,0,62
Série B,2023,2023-05-20,Ituano,0,2,Novorizontino,VV,0,3,63
Série B,2023,2023-05-20,Sampaio Corrêa,1,0,ABC,VC,3,0,64
Série B,2023,2023-05-21,CRB,0,3,Vila Nova-GO,VV,0,3,65
Série B,2023,2023-05-21,Chapecoense,0,2,Juventude,VV,0,3,66
Série B,2023,2023-05-21,Ponte Preta,1,1,Guarani,E,1,1,67
Série B,2023,2023-05-21,Criciúma,1,2,Ceará,VV,0,3,68
