Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
Série A,2007,2007-01-08,Internacional,0,2,Vasco,VV,0,3,1
Série A,2007,2007-01-08,Atlético-MG,1,2,Santos,VV,0,3,2
Série A,2007,2007-01-08,Athletico-PR,2,2,Corinthians,E,1,1,3
Série A,2007,2007-01-08,Botafogo,4,2,América-RN,VC,3,0,4
Série A,2007,2007-01-08,Palmeiras,1,2,Sport,VV,0,3,5
Série A,2007,2007-01-08,Náutico,0,0,Fluminense,E,1,1,6
Série A,2007,2007-01-08,Goiás,2,0,Paraná,VC,3,0,7
Série A,2007,2007-01-09,São Paulo,6,0,Paraná,VC,3,0,8
Série A,2007,2007-01-09,América-RN,0,3,Juventude,VV,0,3,9
Série A,2007,2007-01-09,Flamengo,1,1,Sport,E,1,1,10
Série A,2007,2007-01-11,Internacional,0,0,Sport,E,1,1,11
Série A,2007,2007-01-11,Palmeiras,0,1,Juventude,VV,0,3,12
Série A,2007,2007-01-11,Botafogo,4,1,Cruzeiro,VC,3,0,13
Série A,2007,2007-02-06,Atlético-MG,1,1,Athletico-PR,E,1,1,14
Série A,2007,2007-02-06,Botafogo,3,0,Grêmio,VC,3,0,15
Série A,2007,2007-02-06,Figueirense,2,1,Goiás,VC,3,0,16
Série A,2007,2007-02-08,São Paulo,3,1,Juventude,VC,3,0,17
Série A,2007,2007-02-08,Figueirense,1,0,Grêmio,VC,3,0,18
Série A,2007,2007-02-09,Athletico-PR,1,0,Atlético-MG,VC,3,0,19
Série A,2007,2007-02-09,Goiás,2,1,Figueirense,VC,3,0,20
Série A,2007,2007-02-09,Fluminense,1,1,Vasco,E,1,1,21
Série A,2007,2007-02-09,Náutico,1,1,Internacional,E,1,1,22
Série A,2007,2007-02-09,Corinthians,2,0,Santos,VC,3,0,23
Série A,2007,2007-02-09,Grêmio,3,0,Botafogo,VC,3,0,24
Série A,2007,2007-02-09,Cruzeiro,5,0,Palmeiras,VC,3,0,25
Série A,2007,2007-02-12,Grêmio,1,1,Corinthians,E,1,1,26
Série A,2007,2007-02-12,Cruzeiro,2,0,América-RN,VC,3,0,27
Série A,2007,2007-02-12,Santos,2,4,Fluminense,VV,0,3,28
Série A,2007,2007-02-12,Juventude,2,1,Sport,VC,3,0,29
Série A,2007,2007-02-12,Athletico-PR,2,1,São Paulo,VC,3,0,30
Série A,2007,2007-02-12,Palmeiras,1,3,Atlético-MG,VV,0,3,31
Série A,2007,2007-02-12,Vasco,3,0,Paraná,VC,3,0,32
Série A,2007,2007-02-12,Goiás,2,1,Internacional,VC,3,0,33
Série A,2007,2007-02-12,Botafogo,1,1,Figueirense,E,1,1,34
Série A,2007,2007-02-12,Náutico,1,0,Flamengo,VC,3,0,35
Série A,2007,2007-03-06,Santos,1,1,Corinthians,E,1,1,36
Série A,2007,2007-03-06,Palmeiras,1,3,Cruzeiro,VV,0,3,37
Série A,2007,2007-03-06,Sport,2,2,Flamengo,E,1,1,38
Série A,2007,2007-03-06,Juventude,3,0,América-RN,VC,3,0,39
Série A,2007,2007-03-06,Paraná,0,1,São Paulo,VV,0,3,40
Série A,2007,2007-03-06,Vasco,1,1,Fluminense,E,1,1,41
Série A,2007,2007-03-07,Figueirense,2,1,Cruzeiro,VC,3,0,42
Série A,2007,2007-03-07,Palmeiras,2,0,América-RN,VC,3,0,43
Série A,2007,2007-03-07,Grêmio,3,1,Juventude,VC,3,0,44
Série A,2007,2007-03-07,Fluminense,0,0,Paraná,E,1,1,45
Série A,2007,2007-03-07,Athletico-PR,1,1,Náutico,E,1,1,46
Série A,2007,2007-03-07,Goiás,1,1,Botafogo,E,1,1,47
Série A,2007,2007-03-07,São Paulo,1,0,Internacional,VC,3,0,48
Série A,2007,2007-03-10,Vasco,0,1,Juventude,VV,0,3,49
Série A,2007,2007-03-10,Grêmio,2,2,Atlético-MG,E,1,1,50
Série A,2007,2007-03-10,Cruzeiro,0,1,Santos,VV,0,3,51
Série A,2007,2007-03-10,Sport,4,0,Goiás,VC,3,0,52
Série A,2007,2007-03-10,Fluminense,1,1,Corinthians,E,1,1,53
Série A,2007,2007-03-10,Athletico-PR,2,0,Botafogo,VC,3,0,54
Série A,2007,2007-03-10,Palmeiras,2,1,Náutico,VC,3,0,55
Série A,2007,2007-03-11,Grêmio,1,2,Figueirense,VV,0,3,56
Série A,2007,2007-03-11,Paraná,1,0,Goiás,VC,3,0,57
Série A,2007,2007-03-11,Fluminense,2,1,Náutico,VC,3,0,58
Série A,2007,2007-04-06,Internacional,2,0,Náutico,VC,3,0,59
Série A,2007,2007-04-07,Vasco,4,0,Santos,VC,3,0,60
Série A,2007,2007-04-07,Atlético-MG,1,1,Flamengo,E,1,1,61
Série A,2007,2007-04-07,Sport,2,1,Corinthians,VC,3,0,62
Série A,2007,2007-04-08,Corinthians,1,0,Goiás,VC,3,0,63
Série A,2007,2007-04-08,América-RN,1,5,Náutico,VV,0,3,64
Série A,2007,2007-04-08,Sport,3,2,Athletico-PR,VC,3,0,65
Série A,2007,2007-04-10,Figueirense,0,0,Internacional,E,1,1,66
Série A,2007,2007-04-10,Flamengo,1,0,São Paulo,VC,3,0,67
Série A,2007,2007-04-10,América-RN,3,2,Paraná,VC,3,0,68
Série A,2007,2007-04-11,Corinthians,2,2,Athletico-PR,E,1,1,69
Série A,2007,2007-04-11,América-RN,1,1,Botafogo,E,1,1,70
Série A,2007,2007-04-11,Sport,3,1,Palmeiras,VC,3,0,71
Série A,2007,2007-04-11,Cruzeiro,3,1,Flamengo,VC,3,0,72
Série A,2007,2007-04-11,Santos,2,2,Atlético-MG,E,1,1,73
Série A,2007,2007-04-11,Vasco,1,2,Internacional,VV,0,3,74
Série A,2007,2007-05-08,Vasco,2,2,Figueirense,E,1,1,75
Série A,2007,2007-05-08,Fluminense,0,1,Palmeiras,VV,0,3,76
Série A,2007,2007-05-08,Paraná,0,0,Botafogo,E,1,1,77
Série A,2007,2007-05-08,Cruzeiro,3,2,Internacional,VC,3,0,78
Série A,2007,2007-05-08,Santos,3,0,Flamengo,VC,3,0,79
Série A,2007,2007-05-08,Juventude,1,2,Atlético-MG,VV,0,3,80
Série A,2007,2007-05-08,Grêmio,0,2,São Paulo,VV,0,3,81
Série A,2007,2007-05-09,Atlético-MG,0,0,São Paulo,E,1,1,82
Série A,2007,2007-05-09,Santos,2,1,Internacional,VC,3,0,83
Série A,2007,2007-05-09,Juventude,1,0,Cruzeiro,VC,3,0,84
Série A,2007,2007-05-09,Grêmio,3,1,Vasco,VC,3,0,85
Série A,2007,2007-05-09,Flamengo,4,1,Figueirense,VC,3,0,86
Série A,2007,2007-05-09,Corinthians,1,0,América-RN,VC,3,0,87
Série A,2007,2007-05-09,Goiás,2,3,Athletico-PR,VV,0,3,88
Série A,2007,2007-06-07,Paraná,0,1,América-RN,VV,0,3,89
Série A,2007,2007-06-09,Sport,0,2,Fluminense,VV,0,3,90
Série A,2007,2007-06-09,Paraná,2,4,Náutico,VV,0,3,91
Série A,2007,2007-06-09,Botafogo,1,1,Palmeiras,E,1,1,92
Série A,2007,2007-06-10,Náutico,4,1,Juventude,VC,3,0,93
Série A,2007,2007-06-10,Botafogo,1,2,Santos,VV,0,3,94
Série A,2007,2007-06-10,Palmeiras,2,0,Grêmio,VC,3,0,95
Série A,2007,2007-07-07,Atlético-MG,0,1,Grêmio,VV,0,3,96
Série A,2007,2007-07-07,Botafogo,2,0,Athletico-PR,VC,3,0,97
Série A,2007,2007-07-07,Corinthians,1,1,Fluminense,E,1,1,98
Série A,2007,2007-07-07,Santos,4,1,Cruzeiro,VC,3,0,99
Série A,2007,2007-07-07,São Paulo,0,0,Flamengo,E,1,1,100
Série A,2007,2007-07-07,Goiás,3,2,Sport,VC,3,0,101
Série A,2007,2007-07-07,Internacional,2,1,Figueirense,VC,3,0,102
Série A,2007,2007-07-07,Náutico,0,1,Palmeiras,VV,0,3,103
Série A,2007,2007-07-07,Juventude,2,0,Vasco,VC,3,0,104
Série A,2007,2007-07-10,Goiás,0,0,Cruzeiro,E,1,1,105
Série A,2007,2007-07-10,Athletico-PR,1,0,Vasco,VC,3,0,106
Série A,2007,2007-07-10,São Paulo,0,1,Corinthians,VV,0,3,107
Série A,2007,2007-07-10,Figueirense,4,0,Paraná,VC,3,0,108
Série A,2007,2007-07-10,Internacional,2,0,América-RN,VC,3,0,109
Série A,2007,2007-07-10,Flamengo,0,2,Fluminense,VV,0,3,110
Série A,2007,2007-07-10,Atlético-MG,3,1,Sport,VC,3,0,111
Série A,2007,2007-07-11,Juventude,2,0,São Paulo,VC,3,0,112
Série A,2007,2007-08-08,Goiás,3,2,Atlético-MG,VC,3,0,113
Série A,2007,2007-08-08,Botafogo,0,2,São Paulo,VV,0,3,114
Série A,2007,2007-08-08,Cruzeiro,2,0,Sport,VC,3,0,115
Série A,2007,2007-08-08,Juventude,0,0,Fluminense,E,1,1,116
Série A,2007,2007-08-08,Náutico,4,2,Figueirense,VC,3,0,117
Série A,2007,2007-08-08,Athletico-PR,2,0,Flamengo,VC,3,0,118
Série A,2007,2007-08-09,Cruzeiro,2,0,Grêmio,VC,3,0,119
Série A,2007,2007-08-09,Internacional,3,0,Flamengo,VC,3,0,120
Série A,2007,2007-08-09,Figueirense,2,1,Atlético-MG,VC,3,0,121
Série A,2007,2007-08-09,Vasco,0,2,São Paulo,VV,0,3,122
Série A,2007,2007-08-09,Santos,1,0,Juventude,VC,3,0,123
Série A,2007,2007-09-06,Náutico,4,4,Paraná,E,1,1,124
Série A,2007,2007-09-06,Palmeiras,1,1,Botafogo,E,1,1,125
Série A,2007,2007-09-06,Vasco,4,0,Grêmio,VC,3,0,126
Série A,2007,2007-09-08,Santos,2,0,Paraná,VC,3,0,127
Série A,2007,2007-09-08,Palmeiras,1,1,Internacional,E,1,1,128
Série A,2007,2007-09-08,Grêmio,3,0,América-RN,VC,3,0,129
Série A,2007,2007-09-08,Vasco,2,0,Corinthians,VC,3,0,130
Série A,2007,2007-09-09,Fluminense,2,0,Athletico-PR,VC,3,0,131
Série A,2007,2007-09-09,Paraná,1,0,Corinthians,VC,3,0,132
Série A,2007,2007-09-09,América-RN,1,1,Sport,E,1,1,133
Série A,2007,2007-09-09,Palmeiras,2,0,Goiás,VC,3,0,134
Série A,2007,2007-09-09,Náutico,4,1,Botafogo,VC,3,0,135
Série A,2007,2007-10-06,São Paulo,0,1,Atlético-MG,VV,0,3,136
Série A,2007,2007-10-06,Cruzeiro,2,3,Juventude,VV,0,3,137
Série A,2007,2007-10-06,Athletico-PR,0,3,Goiás,VV,0,3,138
Série A,2007,2007-10-06,Figueirense,4,0,Flamengo,VC,3,0,139
Série A,2007,2007-10-06,Fluminense,3,0,Sport,VC,3,0,140
Série A,2007,2007-10-06,América-RN,1,2,Corinthians,VV,0,3,141
Série A,2007,2007-10-06,Internacional,1,0,Santos,VC,3,0,142
Série A,2007,2007-10-11,Náutico,4,0,América-RN,VC,3,0,143
Série A,2007,2007-10-11,Botafogo,3,2,Paraná,VC,3,0,144
Série A,2007,2007-10-11,Internacional,1,0,Cruzeiro,VC,3,0,145
Série A,2007,2007-11-08,Flamengo,2,1,Náutico,VC,3,0,146
Série A,2007,2007-11-08,Sport,3,0,Juventude,VC,3,0,147
Série A,2007,2007-11-08,São Paulo,2,0,Athletico-PR,VC,3,0,148
Série A,2007,2007-11-11,Athletico-PR,0,0,Sport,E,1,1,149
Série A,2007,2007-11-11,Goiás,1,1,Corinthians,E,1,1,150
Série A,2007,2007-11-11,Atlético-MG,4,1,Juventude,VC,3,0,151
Série A,2007,2007-11-11,São Paulo,1,0,Grêmio,VC,3,0,152
Série A,2007,2007-11-11,Figueirense,3,3,Vasco,E,1,1,153
Série A,2007,2007-11-11,Flamengo,1,0,Santos,VC,3,0,154
Série A,2007,2007-12-05,Figueirense,3,6,Athletico-PR,VV,0,3,155
Série A,2007,2007-12-05,Fluminense,2,2,Cruzeiro,E,1,1,156
Série A,2007,2007-12-05,São Paulo,2,0,Goiás,VC,3,0,157
Série A,2007,2007-12-07,Vasco,1,0,Athletico-PR,VC,3,0,158
Série A,2007,2007-12-07,Juventude,1,1,Náutico,E,1,1,159
Série A,2007,2007-12-07,Paraná,1,2,Figueirense,VV,0,3,160
Série A,2007,2007-12-08,Corinthians,2,1,Grêmio,VC,3,0,161
Série A,2007,2007-12-08,Fluminense,3,0,Santos,VC,3,0,162
Série A,2007,2007-12-08,Paraná,0,0,Vasco,E,1,1,163
Série A,2007,2007-12-08,América-RN,1,2,Cruzeiro,VV,0,3,164
Série A,2007,2007-12-08,Internacional,1,0,Goiás,VC,3,0,165
Série A,2007,2007-12-08,Figueirense,1,1,Botafogo,E,1,1,166
Série A,2007,2007-12-08,Atlético-MG,1,2,Palmeiras,VV,0,3,167
Série A,2007,2007-12-09,Flamengo,3,1,Cruzeiro,VC,3,0,168
Série A,2007,2007-12-10,Juventude,0,0,Athletico-PR,E,1,1,169
Série A,2007,2007-12-10,Cruzeiro,2,2,Náutico,E,1,1,170
Série A,2007,2007-12-10,Sport,0,0,Figueirense,E,1,1,171
Série A,2008,2008-01-06,Fluminense,0,1,Flamengo,VV,0,3,1
Série A,2008,2008-01-06,Palmeiras,1,0,Athletico-PR,VC,3,0,2
Série A,2008,2008-01-06,Ipatinga,2,0,Vitória,VC,3,0,3
Série A,2008,2008-01-06,Coritiba,1,1,Cruzeiro,E,1,1,4
Série A,2008,2008-01-06,Santos,0,0,São Paulo,E,1,1,5
Série A,2008,2008-01-06,Náutico,3,0,Botafogo,VC,3,0,6
Série A,2008,2008-01-06,Atlético-MG,2,0,Portuguesa,VC,3,0,7
Série A,2008,2008-01-10,Fluminense,1,1,Goiás,E,1,1,8
Série A,2008,2008-01-11,Ipatinga,2,0,Coritiba,VC,3,0,9
Série A,2008,2008-01-11,Flamengo,2,2,Portuguesa,E,1,1,10
Série A,2008,2008-01-11,Náutico,1,0,Vitória,VC,3,0,11
Série A,2008,2008-02-08,Fluminense,1,2,Internacional,VV,0,3,12
Série A,2008,2008-02-08,Náutico,1,2,Figueirense,VV,0,3,13
Série A,2008,2008-02-08,Goiás,4,0,Portuguesa,VC,3,0,14
Série A,2008,2008-02-10,Cruzeiro,1,0,Sport,VC,3,0,15
Série A,2008,2008-02-10,Vitória,3,1,Portuguesa,VC,3,0,16
Série A,2008,2008-02-11,São Paulo,3,0,Internacional,VC,3,0,17
Série A,2008,2008-02-11,Goiás,3,0,Cruzeiro,VC,3,0,18
Série A,2008,2008-02-11,Santos,1,2,Palmeiras,VV,0,3,19
Série A,2008,2008-02-11,Grêmio,1,1,Figueirense,E,1,1,20
Série A,2008,2008-02-11,Athletico-PR,1,0,Sport,VC,3,0,21
Série A,2008,2008-02-11,Fluminense,0,1,Vasco,VV,0,3,22
Série A,2008,2008-02-11,Atlético-MG,2,1,Botafogo,VC,3,0,23
Série A,2008,2008-03-08,Flamengo,1,2,Cruzeiro,VV,0,3,24
Série A,2008,2008-03-08,Ipatinga,1,2,Palmeiras,VV,0,3,25
Série A,2008,2008-03-08,São Paulo,4,0,Vasco,VC,3,0,26
Série A,2008,2008-03-08,Grêmio,2,0,Vitória,VC,3,0,27
Série A,2008,2008-03-08,Athletico-PR,0,3,Botafogo,VV,0,3,28
Série A,2008,2008-03-08,Santos,1,3,Coritiba,VV,0,3,29
Série A,2008,2008-03-08,Atlético-MG,2,1,Sport,VC,3,0,30
Série A,2008,2008-03-09,Figueirense,2,3,Flamengo,VV,0,3,31
Série A,2008,2008-03-09,Atlético-MG,1,1,São Paulo,E,1,1,32
Série A,2008,2008-03-09,Goiás,4,0,Athletico-PR,VC,3,0,33
Série A,2008,2008-03-09,Santos,2,0,Vitória,VC,3,0,34
Série A,2008,2008-04-09,Palmeiras,0,3,Sport,VV,0,3,35
Série A,2008,2008-04-09,Vasco,1,3,Cruzeiro,VV,0,3,36
Série A,2008,2008-04-10,Coritiba,4,2,Internacional,VC,3,0,37
Série A,2008,2008-04-10,Palmeiras,3,1,Atlético-MG,VC,3,0,38
Série A,2008,2008-04-10,Ipatinga,1,3,São Paulo,VV,0,3,39
Série A,2008,2008-04-10,Vasco,2,4,Figueirense,VV,0,3,40
Série A,2008,2008-04-10,Grêmio,2,1,Botafogo,VC,3,0,41
Série A,2008,2008-04-10,Santos,4,0,Athletico-PR,VC,3,0,42
Série A,2008,2008-04-10,Náutico,0,2,Flamengo,VV,0,3,43
Série A,2008,2008-05-07,Sport,1,0,Cruzeiro,VC,3,0,44
Série A,2008,2008-05-07,Athletico-PR,1,0,Santos,VC,3,0,45
Série A,2008,2008-05-07,Flamengo,3,0,Náutico,VC,3,0,46
Série A,2008,2008-05-11,Figueirense,0,1,Fluminense,VV,0,3,47
Série A,2008,2008-06-07,Botafogo,2,0,Grêmio,VC,3,0,48
Série A,2008,2008-06-07,Internacional,3,0,Coritiba,VC,3,0,49
Série A,2008,2008-06-07,Atlético-MG,1,1,Palmeiras,E,1,1,50
Série A,2008,2008-06-07,Portuguesa,1,2,Vitória,VV,0,3,51
Série A,2008,2008-06-07,Figueirense,2,1,Vasco,VC,3,0,52
Série A,2008,2008-06-07,São Paulo,1,1,Ipatinga,E,1,1,53
Série A,2008,2008-06-07,Goiás,1,0,Fluminense,VC,3,0,54
Série A,2008,2008-06-08,Fluminense,3,1,São Paulo,VC,3,0,55
Série A,2008,2008-06-08,Santos,2,3,Atlético-MG,VV,0,3,56
Série A,2008,2008-06-08,Sport,2,0,Portuguesa,VC,3,0,57
Série A,2008,2008-06-08,Athletico-PR,2,0,Náutico,VC,3,0,58
Série A,2008,2008-06-08,Vasco,0,2,Coritiba,VV,0,3,59
Série A,2008,2008-06-08,Grêmio,1,0,Ipatinga,VC,3,0,60
Série A,2008,2008-06-08,Goiás,2,1,Flamengo,VC,3,0,61
Série A,2008,2008-06-09,Náutico,2,0,Ipatinga,VC,3,0,62
Série A,2008,2008-06-09,Internacional,1,0,Portuguesa,VC,3,0,63
Série A,2008,2008-06-09,Coritiba,0,1,Botafogo,VV,0,3,64
Série A,2008,2008-06-09,Fluminense,0,0,Grêmio,E,1,1,65
Série A,2008,2008-07-06,Ipatinga,0,0,Náutico,E,1,1,66
Série A,2008,2008-07-06,Flamengo,5,0,Figueirense,VC,3,0,67
Série A,2008,2008-07-06,São Paulo,5,1,Atlético-MG,VC,3,0,68
Série A,2008,2008-07-08,Figueirense,1,2,Botafogo,VV,0,3,69
Série A,2008,2008-07-08,Palmeiras,3,0,Vitória,VC,3,0,70
Série A,2008,2008-07-08,Cruzeiro,2,0,Internacional,VC,3,0,71
Série A,2008,2008-07-12,Vasco,0,2,Vitória,VV,0,3,72
Série A,2008,2008-07-12,Goiás,0,1,São Paulo,VV,0,3,73
Série A,2008,2008-07-12,Santos,0,0,Náutico,E,1,1,74
Série A,2008,2008-07-12,Athletico-PR,5,3,Flamengo,VC,3,0,75
Série A,2008,2008-07-12,Sport,4,3,Coritiba,VC,3,0,76
Série A,2008,2008-07-12,Figueirense,3,1,Internacional,VC,3,0,77
Série A,2008,2008-07-12,Palmeiras,0,1,Botafogo,VV,0,3,78
Série A,2008,2008-07-12,Grêmio,2,0,Atlético-MG,VC,3,0,79
Série A,2008,2008-07-12,Cruzeiro,4,1,Portuguesa,VC,3,0,80
Série A,2008,2008-07-12,Fluminense,1,1,Ipatinga,E,1,1,81
Série A,2008,2008-08-06,Vitória,1,0,Santos,VC,3,0,82
Série A,2008,2008-08-06,Grêmio,2,1,Fluminense,VC,3,0,83
Série A,2008,2008-08-06,Portuguesa,3,1,Internacional,VC,3,0,84
Série A,2008,2008-08-06,Botafogo,2,1,Coritiba,VC,3,0,85
Série A,2008,2008-08-06,Sport,2,0,Palmeiras,VC,3,0,86
Série A,2008,2008-08-06,Cruzeiro,1,0,Vasco,VC,3,0,87
Série A,2008,2008-08-06,Athletico-PR,5,0,Goiás,VC,3,0,88
Série A,2008,2008-08-10,Grêmio,2,0,Santos,VC,3,0,89
Série A,2008,2008-08-10,Figueirense,0,0,Palmeiras,E,1,1,90
Série A,2008,2008-08-10,Sport,2,2,Vasco,E,1,1,91
Série A,2008,2008-08-11,Portuguesa,2,3,São Paulo,VV,0,3,92
Série A,2008,2008-08-11,Vasco,1,0,Santos,VC,3,0,93
Série A,2008,2008-08-11,Figueirense,0,2,Athletico-PR,VV,0,3,94
Série A,2008,2008-09-07,Atlético-MG,1,1,Flamengo,E,1,1,95
Série A,2008,2008-09-07,Náutico,2,1,São Paulo,VC,3,0,96
Série A,2008,2008-09-07,Vitória,5,2,Botafogo,VC,3,0,97
Série A,2008,2008-09-07,Santos,1,1,Grêmio,E,1,1,98
Série A,2008,2008-09-07,Coritiba,4,0,Portuguesa,VC,3,0,99
Série A,2008,2008-09-07,Internacional,1,0,Goiás,VC,3,0,100
Série A,2008,2008-09-07,Fluminense,3,0,Athletico-PR,VC,3,0,101
Série A,2008,2008-09-08,Flamengo,1,0,Athletico-PR,VC,3,0,102
Série A,2008,2008-09-08,Atlético-MG,0,4,Grêmio,VV,0,3,103
Série A,2008,2008-09-08,São Paulo,2,1,Goiás,VC,3,0,104
Série A,2008,2008-09-10,São Paulo,1,0,Náutico,VC,3,0,105
Série A,2008,2008-09-10,Botafogo,3,1,Vitória,VC,3,0,106
Série A,2008,2008-09-10,Cruzeiro,1,0,Ipatinga,VC,3,0,107
Série A,2008,2008-09-11,Botafogo,0,1,Flamengo,VV,0,3,108
Série A,2008,2008-09-11,Internacional,4,0,Ipatinga,VC,3,0,109
Série A,2008,2008-09-11,Palmeiras,0,1,Grêmio,VV,0,3,110
Série A,2008,2008-09-11,Cruzeiro,1,0,Fluminense,VC,3,0,111
Série A,2008,2008-09-11,Coritiba,0,0,Náutico,E,1,1,112
Série A,2008,2008-09-11,Sport,2,1,Goiás,VC,3,0,113
Série A,2008,2008-09-11,Vitória,0,1,Atlético-MG,VV,0,3,114
Série A,2008,2008-10-05,São Paulo,0,1,Grêmio,VV,0,3,115
Série A,2008,2008-10-05,Náutico,2,1,Goiás,VC,3,0,116
Série A,2008,2008-10-05,Vitória,0,2,Cruzeiro,VV,0,3,117
Série A,2008,2008-10-07,Vasco,4,0,Sport,VC,3,0,118
Série A,2008,2008-10-07,Palmeiras,1,1,Figueirense,E,1,1,119
Série A,2008,2008-10-07,Ipatinga,2,2,Cruzeiro,E,1,1,120
Série A,2008,2008-10-08,Internacional,1,1,Figueirense,E,1,1,121
Série A,2008,2008-10-08,Coritiba,3,0,Sport,VC,3,0,122
Série A,2008,2008-10-08,Botafogo,1,0,Palmeiras,VC,3,0,123
Série A,2008,2008-10-08,Vitória,5,0,Vasco,VC,3,0,124
Série A,2008,2008-10-08,Portuguesa,2,1,Cruzeiro,VC,3,0,125
Série A,2008,2008-10-08,Ipatinga,2,1,Fluminense,VC,3,0,126
Série A,2008,2008-10-08,Náutico,1,0,Santos,VC,3,0,127
Série A,2008,2008-11-05,Botafogo,2,0,Sport,VC,3,0,128
Série A,2008,2008-11-05,Atlético-MG,0,0,Fluminense,E,1,1,129
Série A,2008,2008-11-05,Ipatinga,0,1,Athletico-PR,VV,0,3,130
Série A,2008,2008-11-05,Portuguesa,5,5,Figueirense,E,1,1,131
Série A,2008,2008-11-05,Flamengo,3,1,Santos,VC,3,0,132
Série A,2008,2008-11-05,Coritiba,2,0,Palmeiras,VC,3,0,133
Série A,2008,2008-11-05,Internacional,1,0,Vasco,VC,3,0,134
Série A,2008,2008-11-10,Portuguesa,0,0,Coritiba,E,1,1,135
Série A,2008,2008-11-10,Athletico-PR,1,3,Fluminense,VV,0,3,136
Série A,2008,2008-11-10,Flamengo,0,3,Atlético-MG,VV,0,3,137
Série A,2008,2008-11-10,Goiás,1,1,Internacional,E,1,1,138
Série A,2008,2008-12-06,Fluminense,1,1,Santos,E,1,1,139
Série A,2008,2008-12-06,Palmeiras,5,2,Cruzeiro,VC,3,0,140
Série A,2008,2008-12-06,Atlético-MG,4,2,Ipatinga,VC,3,0,141
Série A,2008,2008-12-07,Goiás,2,2,Coritiba,E,1,1,142
Série A,2008,2008-12-07,Fluminense,2,1,Vitória,VC,3,0,143
Série A,2008,2008-12-11,Atlético-MG,4,1,Vasco,VC,3,0,144
Série A,2009,2009-01-08,Botafogo,2,1,G. Barueri/Prudente,VC,3,0,1
Série A,2009,2009-01-08,Sport,0,1,Palmeiras,VV,0,3,2
Série A,2009,2009-01-11,Goiás,2,3,Atlético-MG,VV,0,3,3
Série A,2009,2009-01-11,Náutico,3,2,Sport,VC,3,0,4
Série A,2009,2009-01-11,Cruzeiro,2,3,Fluminense,VV,0,3,5
Série A,2009,2009-01-11,Coritiba,1,0,Vitória,VC,3,0,6
Série A,2009,2009-01-11,Internacional,0,1,Botafogo,VV,0,3,7
Série A,2009,2009-01-11,Palmeiras,2,2,Corinthians,E,1,1,8
Série A,2009,2009-01-11,Santo André,2,0,Grêmio,VC,3,0,9
Série A,2009,2009-02-08,Santo André,1,2,Goiás,VV,0,3,10
Série A,2009,2009-02-08,Corinthians,0,0,Avaí,E,1,1,11
Série A,2009,2009-02-08,Atlético-MG,3,2,Coritiba,VC,3,0,12
Série A,2009,2009-02-08,Athletico-PR,1,0,Fluminense,VC,3,0,13
Série A,2009,2009-02-08,Vitória,0,1,São Paulo,VV,0,3,14
Série A,2009,2009-02-08,Flamengo,1,1,Náutico,E,1,1,15
Série A,2009,2009-02-08,Grêmio,4,1,Cruzeiro,VC,3,0,16
Série A,2009,2009-02-09,Internacional,3,0,Atlético-MG,VC,3,0,17
Série A,2009,2009-02-09,Corinthians,2,1,Santos,VC,3,0,18
Série A,2009,2009-03-10,Corinthians,1,3,Athletico-PR,VV,0,3,19
Série A,2009,2009-03-10,Santo André,1,0,Vitória,VC,3,0,20
Série A,2009,2009-03-10,Atlético-MG,2,1,G. Barueri/Prudente,VC,3,0,21
Série A,2009,2009-04-06,Santo André,3,3,Santos,E,1,1,22
Série A,2009,2009-04-06,Grêmio,3,0,Náutico,VC,3,0,23
Série A,2009,2009-04-07,Santos,1,0,Sport,VC,3,0,24
Série A,2009,2009-04-07,Santo André,1,1,G. Barueri/Prudente,E,1,1,25
Série A,2009,2009-04-07,Flamengo,2,1,Vitória,VC,3,0,26
Série A,2009,2009-04-10,Santos,1,3,Palmeiras,VV,0,3,27
Série A,2009,2009-04-10,Grêmio,3,3,Sport,E,1,1,28
Série A,2009,2009-04-10,Flamengo,2,0,Fluminense,VC,3,0,29
Série A,2009,2009-04-10,Goiás,1,3,Botafogo,VV,0,3,30
Série A,2009,2009-04-10,Avaí,2,2,Cruzeiro,E,1,1,31
Série A,2009,2009-04-10,Coritiba,2,0,Internacional,VC,3,0,32
Série A,2009,2009-04-11,Grêmio,1,1,São Paulo,E,1,1,33
Série A,2009,2009-05-07,Coritiba,2,0,São Paulo,VC,3,0,34
Série A,2009,2009-05-07,Atlético-MG,1,1,Botafogo,E,1,1,35
Série A,2009,2009-05-07,Goiás,1,0,Cruzeiro,VC,3,0,36
Série A,2009,2009-05-07,Grêmio,4,1,Athletico-PR,VC,3,0,37
Série A,2009,2009-05-07,Avaí,0,3,Palmeiras,VV,0,3,38
Série A,2009,2009-05-07,Náutico,0,2,Internacional,VV,0,3,39
Série A,2009,2009-05-08,São Paulo,3,1,Botafogo,VC,3,0,40
Série A,2009,2009-05-08,Coritiba,0,1,Santos,VV,0,3,41
Série A,2009,2009-05-08,Goiás,3,2,Flamengo,VC,3,0,42
Série A,2009,2009-05-08,Cruzeiro,0,2,Athletico-PR,VV,0,3,43
Série A,2009,2009-05-08,Avaí,1,0,Santo André,VC,3,0,44
Série A,2009,2009-05-08,Náutico,1,0,Corinthians,VC,3,0,45
Série A,2009,2009-05-09,Sport,2,1,Botafogo,VC,3,0,46
